metier;sexe;annee_naissance;random_id_client;enfant_conduite_accompagne;nombre_enfants;tranches_salaires;Tranche_valeur_residence_principale;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande.1;etat_dossier;formule;Tranche_tarif_devis
ingénieur logiciel;M;1957;36114020537;FAUX;VRAI;0 - 20K;0 - 0K;Private;Pickup;0;8.0;z_Highly Rural/ Rural;05/02/2022;complet;dev_express;200 - 300€
enseignant spécialisé spécialisée;M;1945;16573853902;FAUX;FAUX;+ 80K;200 - 300K;Private;Pickup;1;9.0;Highly Urban/ Urban;27/03/2022;complet;dev_express;200 - 300€
sculpteur sur bois;F;1987;36461299965;FAUX;FAUX;Inconnu;0 - 0K;Private;z_SUV;2;7.0;z_Highly Rural/ Rural;05/01/2022;complet;dev_express;200 - 300€
juriste droit de l'environnement;F;2003;21739892309;FAUX;FAUX;40 - 60K;100 - 200K;Private;Pickup;9;1.0;Highly Urban/ Urban;15/04/2022;incomplet;dev_integral;300 - 400€
avocat;M;1968;32445732648;FAUX;FAUX;40 - 60K;200 - 300K;Private;Minivan;2;14.0;Highly Urban/ Urban;03/05/2022;complet;dev_express;200 - 300€
responsable du service après-vente;M;1998;21946620993;FAUX;FAUX;20 - 40K;200 - 300K;Commercial;z_SUV;0;1.0;Highly Urban/ Urban;26/03/2022;complet;dev_express;200 - 300€
hot liner;F;1997;44315998285;FAUX;FAUX;20 - 40K;100 - 200K;Private;Sports Car;0;13.0;Highly Urban/ Urban;07/02/2022;incomplet;dev_vip;+ 500€
consultant informatique;F;1942;12038937256;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Panel Truck;1;15.0;Highly Urban/ Urban;31/01/2022;complet;dev_express;200 - 300€
architecte des systèmes d'information;F;1960;37935785013;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;1;20.0;Highly Urban/ Urban;30/04/2022;complet;dev_express;200 - 300€
mixeur son;F;2022;43794833526;FAUX;VRAI;+ 80K;0 - 0K;Commercial;Panel Truck;0;13.0;Highly Urban/ Urban;04/02/2022;complet;dev_premium;+ 500€
étalagiste;M;1943;37709643972;FAUX;VRAI;40 - 60K;0 - 0K;Private;Sports Car;4;9.0;z_Highly Rural/ Rural;20/01/2022;complet;dev_integral;300 - 400€
serrurier dépanneur dépanneuse;F;1964;16216170178;FAUX;FAUX;+ 80K;400 - 500K;Private;Minivan;0;19.0;Highly Urban/ Urban;22/03/2022;complet;dev_integral;300 - 400€
soigneur d'animaux;M;1951;58209870938;FAUX;VRAI;0 - 20K;100 - 200K;Private;Sports Car;0;13.0;Highly Urban/ Urban;31/05/2022;complet;dev_premium;400 - 500€
viticulteur;M;1982;26397114008;FAUX;FAUX;Inconnu;200 - 300K;Commercial;Sports Car;4;1.0;Highly Urban/ Urban;05/01/2022;complet;dev_integral;200 - 300€
garçon de café;F;1972;49139000367;FAUX;VRAI;0 - 20K;0 - 100K;Private;Sports Car;10;0.0;Highly Urban/ Urban;23/04/2022;complet;dev_express;200 - 300€
agent de propreté urbaine;F;1992;57586196039;FAUX;FAUX;+ 80K;300 - 400K;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;02/05/2022;complet;dev_express;200 - 300€
juge des contentieux de la protection;F;1959;10890111499;FAUX;FAUX;40 - 60K;100 - 200K;Private;z_SUV;5;13.0;Highly Urban/ Urban;02/04/2022;incomplet;dev_integral;200 - 300€
élagueur;F;2012;2965932537;VRAI;VRAI;40 - 60K;100 - 200K;Commercial;Minivan;0;10.0;Highly Urban/ Urban;11/04/2022;complet;dev_integral;200 - 300€
gérant de restauration collective;M;1990;50333848366;FAUX;FAUX;+ 80K;200 - 300K;Private;z_SUV;4;1.0;Highly Urban/ Urban;04/02/2022;complet;dev_express;200 - 300€
agent arboricole;F;1971;56108435901;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;0;1.0;z_Highly Rural/ Rural;22/01/2022;complet;dev_vip;+ 500€
gardien de la paix;M;1983;50942901708;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;2;11.0;Highly Urban/ Urban;18/03/2022;complet;dev_express;200 - 300€
contrôleur aérien aérienne;F;1988;4254544634;FAUX;VRAI;+ 80K;200 - 300K;Private;z_SUV;1;7.0;Highly Urban/ Urban;16/03/2022;incomplet;dev_integral;200 - 300€
community manager;F;1970;28104810598;FAUX;VRAI;0 - 20K;0 - 0K;Private;Pickup;0;6.0;Highly Urban/ Urban;08/02/2022;complet;dev_integral;300 - 400€
collecteur de fonds;M;1999;13429909515;VRAI;VRAI;0 - 20K;0 - 0K;Commercial;z_SUV;0;8.0;z_Highly Rural/ Rural;21/02/2022;complet;dev_express;200 - 300€
juge d'instruction;F;1998;37426247561;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Van;2;;Highly Urban/ Urban;13/01/2022;complet;dev_integral;300 - 400€
conducteur de machines à papier;F;1994;9376051729;VRAI;VRAI;60 - 80K;200 - 300K;Private;Pickup;0;11.0;Highly Urban/ Urban;20/05/2022;complet;dev_express;200 - 300€
statisticien en géomarketing;M;1951;11575074005;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Pickup;2;1.0;Highly Urban/ Urban;19/02/2022;complet;dev_express;200 - 300€
vendeur-magasinier en fournitures automobiles;F;2009;46469912111;FAUX;VRAI;60 - 80K;200 - 300K;Commercial;Pickup;0;1.0;Highly Urban/ Urban;13/04/2022;complet;dev_premium;+ 500€
agent de développement des énergies renouvelables;F;1971;37503312948;FAUX;FAUX;40 - 60K;0 - 0K;Commercial;z_SUV;0;8.0;z_Highly Rural/ Rural;25/03/2022;complet;dev_integral;300 - 400€
ingénieur en acoustique;M;1989;7751989704;FAUX;FAUX;Inconnu;100 - 200K;Private;z_SUV;0;1.0;Highly Urban/ Urban;05/04/2022;incomplet;dev_integral;200 - 300€
collaborateur de notaire de notaire;F;1999;4640560571;FAUX;FAUX;+ 80K;200 - 300K;Private;Sports Car;1;17.0;Highly Urban/ Urban;08/05/2022;complet;dev_express;200 - 300€
directeur de golf;M;1955;23478858309;FAUX;VRAI;0 - 20K;0 - 100K;Commercial;z_SUV;3;8.0;Highly Urban/ Urban;08/01/2022;complet;dev_express;200 - 300€
mécanicien bateaux;F;1942;30741166480;FAUX;FAUX;0 - 20K;0 - 0K;Commercial;Pickup;2;1.0;z_Highly Rural/ Rural;20/02/2022;complet;dev_integral;200 - 300€
peintre en bâtiment;F;1979;56238849619;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Sports Car;1;6.0;Highly Urban/ Urban;17/02/2022;complet;dev_integral;300 - 400€
secrétaire d'édition;M;1971;39781701788;FAUX;VRAI;60 - 80K;0 - 0K;Private;Minivan;0;9.0;Highly Urban/ Urban;24/01/2022;complet;dev_integral;300 - 400€
statisticien;F;1947;20226085708;VRAI;VRAI;60 - 80K;200 - 300K;Private;Sports Car;4;14.0;Highly Urban/ Urban;23/05/2022;complet;dev_integral;300 - 400€
documentaliste;M;1955;29250004433;FAUX;FAUX;60 - 80K;0 - 0K;Commercial;z_SUV;0;11.0;Highly Urban/ Urban;12/05/2022;complet;dev_express;200 - 300€
juriste droit de l'environnement;M;1940;25867177247;VRAI;VRAI;60 - 80K;200 - 300K;Private;z_SUV;0;6.0;Highly Urban/ Urban;25/02/2022;complet;dev_integral;200 - 300€
webmestre;F;1963;6116171103;VRAI;VRAI;0 - 20K;0 - 0K;Private;Minivan;0;;Highly Urban/ Urban;20/05/2022;complet;dev_express;200 - 300€
tapissier d'ameublement;F;1950;19559590851;FAUX;VRAI;+ 80K;0 - 0K;Commercial;Panel Truck;0;7.0;Highly Urban/ Urban;22/02/2022;complet;dev_premium;300 - 400€
économe de flux;F;2001;25804281359;VRAI;VRAI;20 - 40K;100 - 200K;Private;Minivan;0;6.0;Highly Urban/ Urban;23/02/2022;complet;dev_express;200 - 300€
enseignant-chercheur;M;2019;7747425759;FAUX;VRAI;60 - 80K;200 - 300K;Private;z_SUV;1;1.0;Highly Urban/ Urban;28/03/2022;complet;dev_premium;+ 500€
anesthésiste-réanimateur;F;1972;20099052395;FAUX;FAUX;0 - 20K;Inconnu;Commercial;z_SUV;0;7.0;z_Highly Rural/ Rural;02/05/2022;complet;dev_express;200 - 300€
ingénieur intégration satellite;F;1968;37888377510;FAUX;VRAI;20 - 40K;0 - 0K;Private;Sports Car;6;4.0;Highly Urban/ Urban;20/03/2022;complet;dev_integral;300 - 400€
chercheur en chimie;M;2011;20429261766;FAUX;VRAI;0 - 20K;100 - 200K;Commercial;z_SUV;4;10.0;Highly Urban/ Urban;23/04/2022;complet;dev_integral;300 - 400€
designer industriel industrielle;M;1947;47056525629;FAUX;FAUX;+ 80K;Inconnu;Commercial;Minivan;11;7.0;Highly Urban/ Urban;11/04/2022;complet;dev_express;200 - 300€
technicien packaging;M;1950;47781136843;FAUX;VRAI;0 - 20K;100 - 200K;Private;Sports Car;0;1.0;Highly Urban/ Urban;22/01/2022;incomplet;dev_integral;300 - 400€
commerçant en alimentation;M;1977;42278998092;FAUX;FAUX;40 - 60K;200 - 300K;Commercial;Van;1;12.0;Highly Urban/ Urban;23/04/2022;complet;dev_premium;300 - 400€
dessinateur-projeteur;M;1973;7523636517;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Panel Truck;0;1.0;z_Highly Rural/ Rural;13/04/2022;complet;dev_express;200 - 300€
technicien réalisateur réalisatrice radio;M;2015;53572307095;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Pickup;2;10.0;z_Highly Rural/ Rural;26/03/2022;complet;dev_integral;200 - 300€
tailleur-couturier;F;1993;35394273165;FAUX;VRAI;0 - 20K;0 - 0K;Private;Sports Car;3;1.0;Highly Urban/ Urban;21/05/2022;incomplet;dev_integral;200 - 300€
technicien des industries du verre;F;1974;28442365056;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Panel Truck;0;6.0;Highly Urban/ Urban;28/02/2022;complet;dev_integral;200 - 300€
technicien radioprotection;F;1951;50168561046;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;0;;Highly Urban/ Urban;18/03/2022;complet;dev_integral;300 - 400€
urbaniste;M;1968;36150746208;VRAI;VRAI;+ 80K;0 - 0K;Commercial;Minivan;4;1.0;Highly Urban/ Urban;17/02/2022;complet;dev_express;200 - 300€
restaurateur d'oeuvres d'art;M;1945;37725093358;FAUX;FAUX;40 - 60K;200 - 300K;Commercial;Minivan;4;10.0;Highly Urban/ Urban;23/02/2022;complet;dev_premium;300 - 400€
neurobiologiste;F;1950;12038937256;FAUX;FAUX;60 - 80K;100 - 200K;Private;Minivan;0;;Highly Urban/ Urban;23/01/2022;complet;dev_integral;200 - 300€
attaché de recherche clinique (ARC);M;1998;9450187058;FAUX;VRAI;20 - 40K;100 - 200K;Private;Minivan;0;;Highly Urban/ Urban;03/05/2022;complet;dev_integral;200 - 300€
responsable du back office;M;1957;15702748048;FAUX;FAUX;20 - 40K;100 - 200K;Private;Van;1;12.0;Highly Urban/ Urban;17/01/2022;complet;dev_premium;+ 500€
BIM manager;M;1978;32129076580;FAUX;FAUX;+ 80K;300 - 400K;Commercial;z_SUV;1;1.0;Highly Urban/ Urban;17/05/2022;complet;dev_integral;300 - 400€
designer sonore;F;2009;52079565854;VRAI;VRAI;+ 80K;300 - 400K;Commercial;Panel Truck;3;1.0;Highly Urban/ Urban;08/02/2022;complet;dev_premium;400 - 500€
consultant SaaS;M;1968;21120483700;FAUX;VRAI;20 - 40K;200 - 300K;Private;z_SUV;0;8.0;Highly Urban/ Urban;06/01/2022;complet;dev_express;200 - 300€
technicien électronicien électronicienne;F;1960;52349821667;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Pickup;0;;Highly Urban/ Urban;18/03/2022;complet;dev_express;200 - 300€
infirmier;F;1934;44317301477;FAUX;FAUX;40 - 60K;0 - 0K;Private;Sports Car;4;8.0;Highly Urban/ Urban;20/04/2022;complet;dev_express;200 - 300€
agent arboricole;M;1965;17602919099;FAUX;VRAI;60 - 80K;0 - 0K;Commercial;Sports Car;6;6.0;Highly Urban/ Urban;31/05/2022;incomplet;dev_express;200 - 300€
gérant de portefeuille;F;2019;47173230107;FAUX;FAUX;60 - 80K;0 - 0K;Private;z_SUV;6;16.0;Highly Urban/ Urban;05/01/2022;complet;dev_integral;300 - 400€
responsable assurance qualité;F;2008;36157308011;FAUX;VRAI;Inconnu;0 - 100K;Private;Minivan;1;8.0;Highly Urban/ Urban;07/03/2022;complet;dev_express;200 - 300€
agent arboricole;M;1991;37596274174;FAUX;FAUX;60 - 80K;100 - 200K;Private;Minivan;0;10.0;Highly Urban/ Urban;08/04/2022;complet;dev_premium;400 - 500€
chargé d'affaires en génie mécanique;F;1957;52851486749;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Panel Truck;3;13.0;Highly Urban/ Urban;13/01/2022;complet;dev_integral;300 - 400€
psychologue de l'éducation nationale spécialité éducation, développement et conseil en orientation scolaire et professionnelle;M;1973;24137830489;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;0;19.0;Highly Urban/ Urban;22/01/2022;complet;dev_integral;200 - 300€
médecin humanitaire;M;1953;57058669546;VRAI;VRAI;+ 80K;300 - 400K;Private;z_SUV;1;11.0;Highly Urban/ Urban;13/05/2022;complet;dev_premium;400 - 500€
technicien en automatismes;F;1940;18766436623;VRAI;VRAI;20 - 40K;100 - 200K;Private;z_SUV;2;19.0;Highly Urban/ Urban;01/03/2022;complet;dev_express;200 - 300€
inspecteur du permis de conduire et de la sécurité routière;M;1989;27419552384;FAUX;FAUX;0 - 20K;0 - 100K;Private;Sports Car;2;5.0;z_Highly Rural/ Rural;17/05/2022;complet;dev_integral;300 - 400€
chargé de recherche et développement déchets;M;1947;1183365360;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;2;19.0;Highly Urban/ Urban;27/02/2022;complet;dev_integral;300 - 400€
technicien céramiste;M;2020;6924164008;FAUX;VRAI;0 - 20K;0 - 0K;Private;z_SUV;2;8.0;Highly Urban/ Urban;14/01/2022;complet;dev_express;200 - 300€
orthodontiste;M;1985;47077602907;VRAI;VRAI;0 - 20K;100 - 200K;Private;z_SUV;4;11.0;z_Highly Rural/ Rural;12/04/2022;complet;dev_vip;+ 500€
ingénieur process aval;F;1964;53675842596;FAUX;FAUX;Inconnu;0 - 0K;Private;z_SUV;0;12.0;Highly Urban/ Urban;03/04/2022;complet;dev_integral;300 - 400€
éducateur de jeunes enfants;F;2019;28963460077;FAUX;VRAI;60 - 80K;200 - 300K;Private;Minivan;0;18.0;Highly Urban/ Urban;11/05/2022;incomplet;dev_integral;300 - 400€
technicien forestier forestière;M;1955;37280166570;VRAI;VRAI;20 - 40K;100 - 200K;Commercial;Pickup;0;7.0;Highly Urban/ Urban;15/02/2022;complet;dev_premium;300 - 400€
viticulteur;F;1972;58756926785;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Panel Truck;0;15.0;Highly Urban/ Urban;21/04/2022;complet;dev_express;200 - 300€
commercial à bord des trains;M;1935;22705774229;FAUX;FAUX;20 - 40K;200 - 300K;Private;z_SUV;0;1.0;Highly Urban/ Urban;25/02/2022;incomplet;dev_express;200 - 300€
géophysicien;M;2007;40022674131;FAUX;VRAI;0 - 20K;100 - 200K;Private;Sports Car;0;1.0;z_Highly Rural/ Rural;13/04/2022;complet;dev_premium;400 - 500€
auditeur interne;M;1962;43022796224;FAUX;FAUX;0 - 20K;100 - 200K;Commercial;Minivan;2;8.0;Highly Urban/ Urban;11/02/2022;complet;dev_premium;400 - 500€
ouvrier agricole;F;1959;41698857641;FAUX;FAUX;40 - 60K;Inconnu;Commercial;Pickup;6;1.0;Highly Urban/ Urban;13/02/2022;complet;dev_premium;300 - 400€
pédicure-podologue;M;1952;47290856106;FAUX;FAUX;+ 80K;0 - 0K;Private;z_SUV;1;15.0;Highly Urban/ Urban;16/05/2022;complet;dev_premium;300 - 400€
géologue;F;1968;5308774039;VRAI;VRAI;+ 80K;400 - 500K;Private;Minivan;0;20.0;Highly Urban/ Urban;18/03/2022;complet;dev_integral;300 - 400€
sellier;F;1956;6813389266;FAUX;FAUX;60 - 80K;200 - 300K;Private;Minivan;5;;Highly Urban/ Urban;18/01/2022;complet;dev_express;200 - 300€
ingénieur forage;F;2009;51741139730;FAUX;FAUX;+ 80K;400 - 500K;Commercial;Panel Truck;1;12.0;Highly Urban/ Urban;23/05/2022;complet;dev_express;200 - 300€
agent de sécurité;M;1953;53507345676;FAUX;FAUX;+ 80K;400 - 500K;Private;z_SUV;0;16.0;Highly Urban/ Urban;16/03/2022;complet;dev_express;200 - 300€
chargé de recherche en recrutement;M;2006;22247850331;FAUX;FAUX;+ 80K;400 - 500K;Private;Sports Car;0;;Highly Urban/ Urban;04/04/2022;complet;dev_integral;300 - 400€
médecin humanitaire;F;2002;31860289867;FAUX;FAUX;60 - 80K;200 - 300K;Private;Sports Car;1;11.0;Highly Urban/ Urban;11/02/2022;incomplet;dev_express;200 - 300€
opérateur sur machine à commande numérique;M;1977;47905275970;FAUX;VRAI;20 - 40K;Inconnu;Private;Sports Car;0;1.0;Highly Urban/ Urban;31/03/2022;complet;dev_integral;200 - 300€
chef de projet éolien;F;1975;15544670056;FAUX;FAUX;60 - 80K;200 - 300K;Private;Minivan;1;22.0;Highly Urban/ Urban;28/02/2022;complet;dev_express;200 - 300€
auxiliaire spécialisé vétérinaire;M;1965;36821352362;FAUX;FAUX;40 - 60K;100 - 200K;Private;Minivan;0;1.0;z_Highly Rural/ Rural;16/04/2022;complet;dev_premium;400 - 500€
orfèvre;F;1977;28100512625;FAUX;FAUX;40 - 60K;0 - 0K;Private;z_SUV;4;15.0;Highly Urban/ Urban;12/02/2022;complet;dev_premium;400 - 500€
webmestre;M;1974;15378210170;FAUX;FAUX;0 - 20K;0 - 100K;Private;z_SUV;0;13.0;z_Highly Rural/ Rural;29/01/2022;complet;dev_express;200 - 300€
manager de risques;F;1947;54232898884;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;1;9.0;Highly Urban/ Urban;06/01/2022;incomplet;dev_express;200 - 300€
bactériologiste;F;1972;16161363780;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;0;1.0;Highly Urban/ Urban;30/04/2022;complet;dev_express;200 - 300€
scénariste;F;1949;24857665476;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Van;0;18.0;Highly Urban/ Urban;25/02/2022;complet;dev_integral;300 - 400€
géomaticien;M;2009;58688518232;FAUX;VRAI;20 - 40K;100 - 200K;Private;Pickup;3;1.0;Highly Urban/ Urban;30/04/2022;complet;dev_express;200 - 300€
puériculteur;F;1943;1804636953;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;2;17.0;Highly Urban/ Urban;25/02/2022;complet;dev_express;200 - 300€
directeur de golf;M;1951;51208174853;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Panel Truck;0;7.0;Highly Urban/ Urban;13/01/2022;incomplet;dev_express;200 - 300€
chef d'exploitation des remontées mécaniques;F;1969;42789468393;FAUX;FAUX;20 - 40K;0 - 0K;Private;Minivan;1;1.0;z_Highly Rural/ Rural;06/05/2022;complet;dev_integral;300 - 400€
auditeur interne;M;2000;29746438162;FAUX;FAUX;60 - 80K;200 - 300K;Private;Minivan;2;1.0;Highly Urban/ Urban;28/05/2022;incomplet;dev_express;200 - 300€
carreleur;F;1965;9150498800;VRAI;VRAI;0 - 20K;100 - 200K;Private;Pickup;2;1.0;Highly Urban/ Urban;16/03/2022;complet;dev_integral;300 - 400€
secrétaire de rédaction;F;1985;36348150709;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;0;7.0;Highly Urban/ Urban;06/04/2022;complet;dev_integral;300 - 400€
contrôleur technique automobile;F;1958;16731043236;FAUX;FAUX;60 - 80K;0 - 0K;Private;Minivan;5;13.0;Highly Urban/ Urban;06/03/2022;complet;dev_integral;300 - 400€
paysagiste;M;1933;20153679374;FAUX;FAUX;+ 80K;Inconnu;Private;Minivan;0;16.0;Highly Urban/ Urban;04/03/2022;complet;dev_express;200 - 300€
technicien logistique;F;1953;41966395088;FAUX;FAUX;60 - 80K;100 - 200K;Private;Sports Car;0;10.0;Highly Urban/ Urban;06/05/2022;complet;dev_express;200 - 300€
apiculteur;F;2009;15286042612;FAUX;VRAI;60 - 80K;100 - 200K;Private;Pickup;3;21.0;Highly Urban/ Urban;01/02/2022;complet;dev_integral;300 - 400€
ingénieur en énergie solaire;M;1962;40917271484;FAUX;VRAI;+ 80K;300 - 400K;Commercial;Panel Truck;1;23.0;Highly Urban/ Urban;16/03/2022;complet;dev_express;200 - 300€
animateur de radio et de télévision;F;1966;21124137570;FAUX;FAUX;40 - 60K;200 - 300K;Commercial;Panel Truck;2;8.0;Highly Urban/ Urban;13/03/2022;complet;dev_premium;300 - 400€
agent de développement touristique;F;1985;18726915296;FAUX;VRAI;+ 80K;300 - 400K;Private;Minivan;2;14.0;Highly Urban/ Urban;14/05/2022;incomplet;dev_integral;300 - 400€
fleuriste;M;2021;57953530983;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Pickup;0;1.0;Highly Urban/ Urban;16/04/2022;complet;dev_integral;300 - 400€
étanchéiste;M;1984;8389449304;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Panel Truck;3;1.0;Highly Urban/ Urban;05/03/2022;complet;dev_express;200 - 300€
attaché de presse;M;1963;57589358911;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;6;17.0;Highly Urban/ Urban;19/03/2022;complet;dev_express;200 - 300€
ingénieur en construction navale;F;1984;28858079115;FAUX;VRAI;0 - 20K;0 - 0K;Commercial;Pickup;0;1.0;z_Highly Rural/ Rural;01/05/2022;complet;dev_premium;400 - 500€
chargé de veille législative et réglementaire;M;2009;20091418857;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Sports Car;5;9.0;Highly Urban/ Urban;19/01/2022;complet;dev_integral;300 - 400€
ingénieur technico-commercial technico-commerciale;F;1971;43479549680;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;0;11.0;z_Highly Rural/ Rural;18/01/2022;incomplet;dev_premium;400 - 500€
juge des contentieux de la protection;F;2015;6944556532;FAUX;FAUX;20 - 40K;100 - 200K;Private;Pickup;3;11.0;Highly Urban/ Urban;23/01/2022;complet;dev_integral;200 - 300€
psychologue de l'Éducation nationale spécialité éducation, développement et apprentissages;F;1965;3689095065;FAUX;FAUX;Inconnu;100 - 200K;Private;Minivan;0;1.0;Highly Urban/ Urban;15/03/2022;complet;dev_integral;200 - 300€
conducteur de machine onduleuse;F;1964;22891452244;FAUX;FAUX;0 - 20K;0 - 100K;Private;z_SUV;2;8.0;Highly Urban/ Urban;04/01/2022;incomplet;dev_express;200 - 300€
auxiliaire de puériculture;F;2013;38453175955;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Sports Car;0;1.0;Highly Urban/ Urban;14/01/2022;complet;dev_integral;300 - 400€
directeur d'accueil collectif de mineurs (ACM);M;1944;5008415246;FAUX;FAUX;20 - 40K;0 - 0K;Private;Sports Car;3;1.0;Highly Urban/ Urban;22/01/2022;complet;dev_express;200 - 300€
généalogiste;F;1961;3511716816;FAUX;FAUX;+ 80K;0 - 0K;Private;Sports Car;0;15.0;Highly Urban/ Urban;03/03/2022;complet;dev_integral;200 - 300€
mandataire judiciaire;M;1995;11533632818;FAUX;VRAI;Inconnu;0 - 100K;Private;z_SUV;1;8.0;z_Highly Rural/ Rural;01/04/2022;complet;dev_integral;300 - 400€
ingénieur en électronique numérique;F;1962;55541494458;FAUX;FAUX;Inconnu;100 - 200K;Private;z_SUV;0;11.0;z_Highly Rural/ Rural;22/02/2022;incomplet;dev_integral;300 - 400€
ingénieur en génie climatique;M;1955;51076001106;FAUX;FAUX;60 - 80K;Inconnu;Commercial;Van;2;1.0;Highly Urban/ Urban;06/04/2022;complet;dev_integral;300 - 400€
responsable de laboratoire de recherche;M;1956;3668734637;FAUX;FAUX;+ 80K;Inconnu;Commercial;Pickup;0;16.0;Highly Urban/ Urban;16/05/2022;complet;dev_express;200 - 300€
esthéticien-cosméticien;M;2007;58457940214;FAUX;FAUX;40 - 60K;0 - 0K;Private;z_SUV;0;11.0;Highly Urban/ Urban;15/02/2022;complet;dev_express;200 - 300€
employé de restaurant;F;1937;37454855245;FAUX;FAUX;0 - 20K;0 - 100K;Private;z_SUV;2;4.0;z_Highly Rural/ Rural;16/02/2022;complet;dev_integral;300 - 400€
météorologiste;F;1965;55360885133;FAUX;FAUX;40 - 60K;0 - 0K;Private;z_SUV;7;6.0;Highly Urban/ Urban;14/03/2022;complet;dev_express;200 - 300€
gestionnaire de contrats d'assurance;F;1942;28388464957;FAUX;FAUX;Inconnu;100 - 200K;Private;z_SUV;0;5.0;z_Highly Rural/ Rural;22/04/2022;complet;dev_integral;300 - 400€
technicien céramiste;M;1983;50239807145;FAUX;FAUX;40 - 60K;100 - 200K;Private;Minivan;2;14.0;Highly Urban/ Urban;31/05/2022;complet;dev_integral;300 - 400€
audioprothésiste;F;1981;1872000203;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;0;;Highly Urban/ Urban;25/02/2022;complet;dev_integral;300 - 400€
administrateur de mission humanitaire;F;2003;52698581169;FAUX;FAUX;0 - 20K;0 - 100K;Private;Minivan;0;4.0;Highly Urban/ Urban;12/03/2022;complet;dev_express;200 - 300€
rédacteur en chef;M;1973;54819742679;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;25/05/2022;complet;dev_express;200 - 300€
étanchéiste;F;1975;16998993034;FAUX;VRAI;0 - 20K;100 - 200K;Private;z_SUV;3;1.0;Highly Urban/ Urban;11/02/2022;complet;dev_express;200 - 300€
ingénieur technico-commercial technico-commerciale en électronique;M;1964;48290507856;VRAI;VRAI;40 - 60K;200 - 300K;Commercial;Panel Truck;0;12.0;Highly Urban/ Urban;09/02/2022;complet;dev_express;200 - 300€
auditeur externe;F;1965;45894759815;FAUX;VRAI;20 - 40K;0 - 0K;Private;z_SUV;0;12.0;Highly Urban/ Urban;23/04/2022;complet;dev_integral;200 - 300€
infirmier humanitaire;F;1966;16068220008;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;2;10.0;Highly Urban/ Urban;06/03/2022;complet;dev_integral;300 - 400€
hôtesse de l'air;M;1994;56178700063;FAUX;VRAI;40 - 60K;100 - 200K;Private;z_SUV;2;1.0;Highly Urban/ Urban;18/03/2022;complet;dev_express;200 - 300€
conducteur opérateur opératrice de scierie;M;1971;28822892754;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Van;3;1.0;Highly Urban/ Urban;19/04/2022;incomplet;dev_integral;200 - 300€
régisseur de spectacles;F;1952;17615717261;FAUX;VRAI;20 - 40K;0 - 0K;Private;Pickup;10;1.0;Highly Urban/ Urban;29/03/2022;complet;dev_express;200 - 300€
manipulateur en électroradiologie médicale;M;2008;14940877449;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Pickup;0;1.0;z_Highly Rural/ Rural;30/03/2022;complet;dev_express;200 - 300€
mixeur son;M;1955;31841041471;FAUX;VRAI;+ 80K;300 - 400K;Private;Minivan;0;1.0;Highly Urban/ Urban;18/05/2022;complet;dev_express;200 - 300€
mécanicien bateaux;M;1964;24269949602;VRAI;VRAI;60 - 80K;200 - 300K;Private;Minivan;6;9.0;Highly Urban/ Urban;01/05/2022;complet;dev_integral;200 - 300€
éducateur spécialisé spécialisée;M;1939;46265309315;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;0;18.0;z_Highly Rural/ Rural;04/03/2022;complet;dev_express;200 - 300€
